GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
0500000US01001,1001,"autauga county, alabama",0.41,0.015
0500000US01003,1003,"baldwin county, alabama",0.4517,0.0093
0500000US01005,1005,"barbour county, alabama",0.4608,0.0187
0500000US01007,1007,"bibb county, alabama",0.4365,0.0378
0500000US01009,1009,"blount county, alabama",0.4134,0.0144
0500000US01011,1011,"bullock county, alabama",0.446,0.0409
0500000US01013,1013,"butler county, alabama",0.4591,0.0194
0500000US01015,1015,"calhoun county, alabama",0.4545,0.0108
0500000US01017,1017,"chambers county, alabama",0.5023,0.0302
0500000US01019,1019,"cherokee county, alabama",0.4658,0.0221
0500000US01021,1021,"chilton county, alabama",0.4517,0.0264
0500000US01023,1023,"choctaw county, alabama",0.4866,0.0285
0500000US01025,1025,"clarke county, alabama",0.5249,0.0306
0500000US01027,1027,"clay county, alabama",0.4373,0.0176
0500000US01029,1029,"cleburne county, alabama",0.4432,0.0232
0500000US01031,1031,"coffee county, alabama",0.4474,0.0129
0500000US01033,1033,"colbert county, alabama",0.4361,0.0126
0500000US01035,1035,"conecuh county, alabama",0.4952,0.0302
0500000US01037,1037,"coosa county, alabama",0.4341,0.0264
0500000US01039,1039,"covington county, alabama",0.4637,0.0193
0500000US01041,1041,"crenshaw county, alabama",0.4589,0.0185
0500000US01043,1043,"cullman county, alabama",0.4582,0.0133
0500000US01045,1045,"dale county, alabama",0.434,0.0105
0500000US01047,1047,"dallas county, alabama",0.5281,0.0194
0500000US01049,1049,"dekalb county, alabama",0.4431,0.0181
0500000US01051,1051,"elmore county, alabama",0.4103,0.013
0500000US01053,1053,"escambia county, alabama",0.4742,0.0166
0500000US01055,1055,"etowah county, alabama",0.4458,0.0103
0500000US01057,1057,"fayette county, alabama",0.467,0.0259
0500000US01059,1059,"franklin county, alabama",0.4386,0.0186
0500000US01061,1061,"geneva county, alabama",0.448,0.0227
0500000US01063,1063,"greene county, alabama",0.4876,0.0381
0500000US01065,1065,"hale county, alabama",0.5082,0.0422
0500000US01067,1067,"henry county, alabama",0.4402,0.0189
0500000US01069,1069,"houston county, alabama",0.473,0.007
0500000US01071,1071,"jackson county, alabama",0.4473,0.0137
0500000US01073,1073,"jefferson county, alabama",0.497,0.0056
0500000US01075,1075,"lamar county, alabama",0.4345,0.0272
0500000US01077,1077,"lauderdale county, alabama",0.4615,0.0137
0500000US01079,1079,"lawrence county, alabama",0.4247,0.0207
0500000US01081,1081,"lee county, alabama",0.4937,0.0117
0500000US01083,1083,"limestone county, alabama",0.4541,0.0156
0500000US01085,1085,"lowndes county, alabama",0.5281,0.0414
0500000US01087,1087,"macon county, alabama",0.4703,0.0176
0500000US01089,1089,"madison county, alabama",0.4701,0.0077
0500000US01091,1091,"marengo county, alabama",0.5402,0.0464
0500000US01093,1093,"marion county, alabama",0.4711,0.022
0500000US01095,1095,"marshall county, alabama",0.4659,0.0107
0500000US01097,1097,"mobile county, alabama",0.4732,0.0075
0500000US01099,1099,"monroe county, alabama",0.492,0.0259
0500000US01101,1101,"montgomery county, alabama",0.4771,0.0083
0500000US01103,1103,"morgan county, alabama",0.4488,0.0142
0500000US01105,1105,"perry county, alabama",0.4924,0.0317
0500000US01107,1107,"pickens county, alabama",0.4608,0.0182
0500000US01109,1109,"pike county, alabama",0.4938,0.0216
0500000US01111,1111,"randolph county, alabama",0.4525,0.0357
0500000US01113,1113,"russell county, alabama",0.4535,0.0159
0500000US01115,1115,"st. clair county, alabama",0.423,0.0156
0500000US01117,1117,"shelby county, alabama",0.4253,0.0085
0500000US01119,1119,"sumter county, alabama",0.4762,0.0175
0500000US01121,1121,"talladega county, alabama",0.4514,0.0138
0500000US01123,1123,"tallapoosa county, alabama",0.4444,0.0158
0500000US01125,1125,"tuscaloosa county, alabama",0.4666,0.0128
0500000US01127,1127,"walker county, alabama",0.4635,0.0201
0500000US01129,1129,"washington county, alabama",0.4169,0.0185
0500000US01131,1131,"wilcox county, alabama",0.5321,0.028
0500000US01133,1133,"winston county, alabama",0.4564,0.0248
0500000US02013,2013,"aleutians east borough, alaska",0.3858,0.0225
0500000US02016,2016,"aleutians west census area, alaska",0.3911,0.0241
0500000US02020,2020,"anchorage municipality, alaska",0.4156,0.0078
0500000US02050,2050,"bethel census area, alaska",0.4427,0.0173
0500000US02060,2060,"bristol bay borough, alaska",0.3476,0.0287
0500000US02068,2068,"denali borough, alaska",0.3756,0.0418
0500000US02070,2070,"dillingham census area, alaska",0.4345,0.0193
0500000US02090,2090,"fairbanks north star borough, alaska",0.4013,0.0153
0500000US02100,2100,"haines borough, alaska",0.4171,0.0499
0500000US02105,2105,"hoonah-angoon census area, alaska",0.4472,0.0319
0500000US02110,2110,"juneau city and borough, alaska",0.3738,0.0139
0500000US02122,2122,"kenai peninsula borough, alaska",0.419,0.0117
0500000US02130,2130,"ketchikan gateway borough, alaska",0.4057,0.0139
0500000US02150,2150,"kodiak island borough, alaska",0.3984,0.028
0500000US02164,2164,"lake and peninsula borough, alaska",0.4362,0.0305
0500000US02170,2170,"matanuska-susitna borough, alaska",0.4042,0.0096
0500000US02180,2180,"nome census area, alaska",0.4427,0.0128
0500000US02185,2185,"north slope borough, alaska",0.3777,0.0227
0500000US02188,2188,"northwest arctic borough, alaska",0.4034,0.0176
0500000US02195,2195,"petersburg borough, alaska",0.4422,0.0251
0500000US02198,2198,"prince of wales-hyder census area, alaska",0.4319,0.0135
0500000US02220,2220,"sitka city and borough, alaska",0.3862,0.02
0500000US02230,2230,"skagway municipality, alaska",0.3761,0.0402
0500000US02240,2240,"southeast fairbanks census area, alaska",0.3944,0.0221
0500000US02261,2261,"valdez-cordova census area, alaska",0.4059,0.025
