GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
0400000US01,1,alabama,0.474,0.0023
0400000US02,2,alaska,0.4146,0.0045
0400000US04,4,arizona,0.4614,0.0018
0400000US05,5,arkansas,0.4661,0.0024
0400000US06,6,california,0.4823,0.0007
0400000US08,8,colorado,0.4584,0.002
0400000US09,9,connecticut,0.4919,0.0024
0400000US10,10,delaware,0.4433,0.0047
0400000US11,11,district of columbia,0.5295,0.0054
0400000US12,12,florida,0.4812,0.0014
0400000US13,13,georgia,0.4775,0.0014
0400000US15,15,hawaii,0.4321,0.0037
0400000US16,16,idaho,0.4375,0.0041
0400000US17,17,illinois,0.4731,0.0013
0400000US18,18,indiana,0.445,0.0017
0400000US19,19,iowa,0.4358,0.0025
0400000US20,20,kansas,0.4517,0.0025
0400000US21,21,kentucky,0.4693,0.0023
0400000US22,22,louisiana,0.484,0.002
0400000US23,23,maine,0.449,0.0039
0400000US24,24,maryland,0.4483,0.0017
0400000US25,25,massachusetts,0.4801,0.0014
0400000US26,26,michigan,0.4592,0.0012
0400000US27,27,minnesota,0.4459,0.0014
0400000US28,28,mississippi,0.4769,0.0029
0400000US29,29,missouri,0.4604,0.0019
0400000US30,30,montana,0.4484,0.0035
0400000US31,31,nebraska,0.4383,0.0024
0400000US32,32,nevada,0.4493,0.0027
0400000US33,33,new hampshire,0.434,0.0036
0400000US34,34,new jersey,0.4721,0.0015
0400000US35,35,new mexico,0.4724,0.0032
0400000US36,36,new york,0.5048,0.0012
0400000US37,37,north carolina,0.4703,0.0017
0400000US38,38,north dakota,0.4535,0.0049
0400000US39,39,ohio,0.4598,0.001
0400000US40,40,oklahoma,0.4624,0.0025
0400000US41,41,oregon,0.4581,0.0024
0400000US42,42,pennsylvania,0.4646,0.0011
0400000US44,44,rhode island,0.472,0.0038
0400000US45,45,south carolina,0.4657,0.0019
0400000US46,46,south dakota,0.4404,0.0045
0400000US47,47,tennessee,0.4751,0.0018
0400000US48,48,texas,0.4769,0.0009
0400000US49,49,utah,0.4247,0.0028
0400000US50,50,vermont,0.4412,0.0049
0400000US51,51,virginia,0.4643,0.0013
0400000US53,53,washington,0.4496,0.0017
0400000US54,54,west virginia,0.4614,0.004
0400000US55,55,wisconsin,0.4381,0.0016
0400000US56,56,wyoming,0.4185,0.0056
0400000US72,72,puerto rico,0.5389,0.0027
