p.num,V8,V9,V10,uid,custom1,data,gc,term,Q39,age,happyt1,partyID,quintile,gender,income,ideology,social.issues,economic.issues
R_doiu85o1V6dLrPn,6/14/2014,6/14/2014,1, ,700450195744e1-6e69-4411-840e-e0912ea5e8f6,2,1, ,1,48,0,2,2,1,3,8,8,8
R_9Bsim3gUtGvEZiR,6/14/2014,6/14/2014,1, ,7004506b219e7c-c49d-4157-a0bd-53b65fdb39b6,2,1, ,1,66,13,2,2,1,3,4,4,4
R_3snt2HshK8Wk1db,6/14/2014,6/14/2014,1, ,700450714d9e87-6581-4d60-8425-ca3b93e696c1,2,1, ,1,56,0,2,1,1,2,4,4,9
R_ePCN0H2FE30d8m9,6/14/2014,6/14/2014,1, ,700450951330d8-3fea-4368-9e98-a1ca34331f75,2,1, ,1,60,75,1,2,2,2,2,2,2
R_4Mcrs1DlHoyT1Hv,6/14/2014,6/14/2014,1, ,700450cc5b17a1-599d-4b36-8ea2-011f458a8ac1,2,1, , , ,30,1,3,2,5,5,5,5
R_cInJUEuGPJRhrEN,6/14/2014,6/14/2014,1, ,700450b349b1b9-e963-4e05-b66c-70e0a6a5f2a5,2,1, ,1,46,10,3,2,2,3,7,6,7
R_1ES0hcwJNSaXOvz,6/14/2014,6/14/2014,1, ,70045027da0922-cf8e-4383-9b74-6c602bfcfb9c,2,1, ,1,25,71,3,4,1,7,6,6,6
R_7W1xALTGuTYIOLb,6/14/2014,6/14/2014,1, ,700450a783ca01-2e8e-4782-91b2-23f8ec1f43ab,2,1, ,1,60,73,1,1,2,1,2,6,1
R_5da40pPxmHvqKbj,6/14/2014,6/14/2014,1, ,700450a414f4fa-c9f2-4673-889c-ca56038ddb2c,2,1, ,1,30,50,3,1,1,1,6,6,6
R_8xnRs1pM3uYFoup,6/14/2014,6/14/2014,1, ,700450d63accb5-5687-467c-b6b6-8fc24ab8f97a,2,1, ,1,54,30,1,5,2,15,2,1,3
R_0JnXSGNY6LdWwS1,6/14/2014,6/14/2014,1, ,700450a04b5d96-f211-4255-90e4-73bd50d110bd,2,1, ,1,47,67,2,2,1,2,6,5,7
R_a3FBWgHydZSjd2t,6/14/2014,6/14/2014,1, ,700450264a2189-fa77-4ae5-9bee-1b780d59b68a,2,1, ,1,57,58,2,1,1,1,4,6,6
R_6mx9kjIelXs9YsB,6/14/2014,6/14/2014,1, ,700450a6ca55da-d286-4865-bbb5-8aa9ccf841ff,2,1, ,1,61,52,1,2,1,2,4,4,4
