Country.Code	Country	inc.elast	Country.ineq.intol	GDP_Percap	Gini_Latest	tol.ineq	social.class	SEX	AGE	EDUCYRS	Act.CEO.Unskill
380	IT	.5	4.59	34757.84066	31.9	1	1	 	 	 	 
36	AU	.26	3.91	43901.55485	30.3	1	1	 	 	 	122
36	AU	.26	3.91	43901.55485	30.3	2	2	 	 	 	3.57142857142857
36	AU	.26	3.91	43901.55485	30.3	1	2	 	 	 	16.6666666666667
36	AU	.26	3.91	43901.55485	30.3	1	2	 	 	 	80
36	AU	.26	3.91	43901.55485	30.3	4	3	 	 	 	53.5714285714286
380	IT	.5	4.59	34757.84066	31.9	3	3	 	 	 	6.5
36	AU	.26	3.91	43901.55485	30.3	4	4	 	 	 	57.1428571428571
36	AU	.26	3.91	43901.55485	30.3	3	4	 	 	 	33.3333333333333
380	IT	.5	4.59	34757.84066	31.9	2	4	 	 	 	 
36	AU	.26	3.91	43901.55485	30.3	2	4	 	 	 	 
380	IT	.5	4.59	34757.84066	31.9	1	4	 	 	 	 
36	AU	.26	3.91	43901.55485	30.3	4	5	 	 	 	25
380	IT	.5	4.59	34757.84066	31.9	1	5	 	 	 	 
36	AU	.26	3.91	43901.55485	30.3	1	5	 	 	 	40
380	IT	.5	4.59	34757.84066	31.9	1	2	1	 	 	50
36	AU	.26	3.91	43901.55485	30.3	3	4	1	 	 	8.33333333333333
276	DE-W	.32	4.37	45615.81119	27	2	4	1	 	 	76.9230769230769
380	IT	.5	4.59	34757.84066	31.9	1	4	1	 	 	12.5
392	JP	.34	4.11	36426.30221	37.6	1	3	2	97	 	 
208	DK	.15	3.6	44862.50398	24.8	1	2	1	93	 	6.8
380	IT	.5	4.59	34757.84066	31.9	1	3	2	92	 	 
208	DK	.15	3.6	44862.50398	24.8	2	4	2	90	 	14.5454545454545
392	JP	.34	4.11	36426.30221	37.6	3	2	2	88	 	 
392	JP	.34	4.11	36426.30221	37.6	3	4	2	87	 	 
208	DK	.15	3.6	44862.50398	24.8	4	4	1	87	 	 
208	DK	.15	3.6	44862.50398	24.8	4	4	1	86	 	1
392	JP	.34	4.11	36426.30221	37.6	1	1	2	85	 	 
208	DK	.15	3.6	44862.50398	24.8	2	3	2	84	 	 
36	AU	.26	3.91	43901.55485	30.3	1	3	1	84	 	40
152	CL	.52	4.19	22333.1064	52.1	3	4	2	83	 	156.25
380	IT	.5	4.59	34757.84066	31.9	1	4	1	83	 	6.66666666666667
208	DK	.15	3.6	44862.50398	24.8	3	2	2	82	 	5
392	JP	.34	4.11	36426.30221	37.6	2	2	2	82	 	 
724	ES	.4	4.19	33763.39366	34	2	3	1	82	 	 
152	CL	.52	4.19	22333.1064	52.1	2	4	1	82	 	 
392	JP	.34	4.11	36426.30221	37.6	1	2	1	81	 	50
578	NO	.17	3.52	64893.05564	25	1	2	2	79	 	 
724	ES	.4	4.19	33763.39366	34	1	2	2	79	 	 
36	AU	.26	3.91	43901.55485	30.3	1	2	2	79	 	 
36	AU	.26	3.91	43901.55485	30.3	2	4	2	79	 	 
208	DK	.15	3.6	44862.50398	24.8	3	5	2	79	 	 
392	JP	.34	4.11	36426.30221	37.6	1	1	1	79	 	16.6666666666667
392	JP	.34	4.11	36426.30221	37.6	3	2	1	79	 	 
578	NO	.17	3.52	64893.05564	25	2	2	1	79	 	 
392	JP	.34	4.11	36426.30221	37.6	5	3	1	79	 	2.11111111111111
752	SE	.27	3.93	45143.52332	23	3	4	1	79	 	2.43478260869565
392	JP	.34	4.11	36426.30221	37.6	3	4	1	79	 	 
36	AU	.26	3.91	43901.55485	30.3	3	4	1	79	 	74.0740740740741
752	SE	.27	3.93	45143.52332	23	2	4	1	79	 	4
752	SE	.27	3.93	45143.52332	23	1	1	2	78	 	 
